6,363.4654,75,323.6,1618,494.522
6,227.6594,59,252.4,1262,330.475
6,255.7962,52,250,1250,355.99
6,375.9826,74,327.6,1638,496.229
6,224.5746,56,252.6,1263,334.379
7,423.2168,55,254.8,1274,597.931
7,296.5406,59,340,1700,414.481
7,241.0132,54,335.4,1677,399.107
7,344.3708,61,341.2,1706,553.445
7,286.7492,55,261.6,1308,460.207
8,310.6164,61,322,1610,511.888
8,248.0512,49,330.6,1653,416.009
8,316.624,58,337.4,1687,572.837
8,266.3326,56,335.6,1678,453.403
9,,55,329,1643,429.949
9,317.2994,58,334.2,1671,527.52
9,253.0232,52,328,1640,455.044
9,270.0122,55,345.6,1728,503.732
