0,1,3,0.625,0,145.1951667,40,19.8,P,UA
1.5,1,3,0,0,250,14,19.33333333,P,UA
2,1,3,100,1,135.4405,27,47, , 
3.5,1,3,100,1,122.08875,28,60.75, , 
4,1,3,100,1,120.8935,24,69.25, , 
5,1,3,100,1,120.7582,22.8,63,,
